,COUNTY,R2SCOREBEFORE,R2SCOREAFTER
0,Snohomish,0.6756903352632632,-238097.94477816843
1,Maricopa,0.9258990867910992,-1205253.6464894072
2,Los Angeles,0.9827586367332658,-92117.5852813064
3,Santa Clara,0.8840713012070812,-1012797.8396060087
4,San Francisco,0.9481946395469701,-83916.41969322495
5,Dane,0.972628663574646,-654617.3791939608
6,San Diego,0.8484045341625991,-111519.76317570775
7,Bexar,0.8308422356865671,-1030880.0356124762
8,Sacramento,0.9489308013392119,-103632.90154399656
9,Solano,-43.82967672591381,-46880.337461076306
10,Spokane,0.7964145463683159,-254.12999358045732
11,Salt Lake,-28.61676060641792,-28.61676060641792
12,Marin,0.47739173267455415,-0.13236910897200427
13,Napa,-1.1041893497323799e+29,-1.0718027973758124
14,Sonoma,0.8010072295048822,0.6328439364261222
15,Manatee,0.9536237561140826,-66980.53257286582
16,Norfolk,0.7568804640915394,-8089.000390159437
17,Grafton,0.9532057075502781,-111843.36870620013
18,Walla Walla,-1.104166743660868e+29,-0.736149270778679
19,Wake,0.9045233377755855,-1050047.5526733808
20,Fort Bend,0.7726063497185518,-324854.01585626137
21,Santa Rosa,0.9494500441394647,-84030.06667245495
22,Washoe,0.8698391766888371,-165809.08228138366
23,Pinal,0.9725954482184452,-88826.39166791616
24,Broward,0.5566663791112334,-303234.1343819535
25,Tulsa,-43.968992254789434,-43.968992254789434
26,Charleston,-420.83599984747127,-420.83599984747127
27,Kershaw,-300.33699231487003,-300.33699231487003
28,Okaloosa,0.8963789042262454,-197751.75361509077
29,Volusia,0.9270322207949135,-398054.25733270537
30,Cobb,0.6470794179792516,-226638.13100280825
31,Gwinnett,0.8991286332378158,-212028.65970229654
32,Fairfax,0.974458202922897,-37845.588596209374
33,Harford,0.8243869696597481,-53.09889130711333
34,Spartanburg,-56.33189133308314,-56.33189133308314
35,Pima,0.9913290753853906,-393244.85281049344
36,Pottawattamie,-0.0964526531452321,-0.0964526531452321
37,Prince George's,0.9930934880839096,-12140.898559199857
38,Collin,0.7561134120784715,-1413826.7120117976
39,Alachua,0.57965318972471,-694107.1500130718
40,Collier,0.7906400814354282,-339014.44059934496
41,Pasco,0.9490465471248166,-225568.65883395902
42,Pinellas,0.9368872832633859,-1525150.174033728
43,Charlton,-1.1040236839772767e+29,-0.7474695991262967
44,Philadelphia,0.9357307800729131,-18807.360989558507
45,Beadle,-1963.1246977686062,-1963.1246977686062
46,Charles Mix,-9.897238817779241,-9.897238817779241
47,Davison,-11.138160361633364,-11.138160361633364
48,Minnehaha,-23.89447687101858,-23.89447687101858
49,Tarrant,0.8806395579437184,-349192.8859179073
50,Weber,-36.990522682008674,-36.990522682008674
51,Miami-Dade,0.7723652067441629,-103146.53757267131
52,St. Johns,0.9315400372158119,-874899.1138068517
53,Bartow,0.16673179986956488,-212431.36725523777
54,Caddo,-1.0659045851774205,-915.6951649567582
55,Forrest,0.7859059026377236,-2321.893451131686
56,Bucks,0.9312449211775596,-41516.695441920136
57,Bon Homme,-5.05363251907297e+30,-5.05363251907297e+30
58,Gregg,0.6369144528292223,-0.5639877152622186
59,Palm Beach,0.8405005743046982,-329781.5914636375
60,Sarasota,0.9321315897234891,-574030.2595002411
61,Androscoggin,0.9346439058427999,-24.082761559923334
62,Tuscaloosa,0.857085102845455,-26471.469341733286
